Transaction Amount,Carbon Volume,Price per Ton,Origin Country,Cross-Border Flag,Buyer Industry,Sudden Transaction Spike,Transaction Hour,Entity Type,Label,company id,nama perusahaan,Nama Perusahaan,Sektor Perusahaan,Alamat,Kontak,NPWP,Situs Web
3090.09,156.12,19.79,Malaysia,False,Technology,False,16,Ltd.,Normal,MYS-LTD-TECHNOLOGY-066,Ltd. Technology Malaysia 066,PT Nusantara Energi 100,Energi,"Jl. Merdeka No. 10, Jakarta Pusat, DKI Jakarta",0812-100-1000,10.100.100.0-100.100,https://www.nusantara-energi-100.co.id
243969.91,22250.28,10.96,Singapore,False,Real Estate,False,18,PT,Suspicious,SGP-PT-REAL_ESTATE-108,PT Real Estate Singapore 108,PT Satria Digital 101,Manufaktur,"Jl. Sudirman No. 11, Bandung, Jawa Barat",0812-101-1001,11.107.103.1-105.111,https://www.satria-digital-101.co.id
102887.24,5094.77,20.19,China,True,Real Estate,False,6,PT,Suspicious,CHN-PT-REAL_ESTATE-021,PT Real Estate China 021,PT Bumi Manufaktur 102,Teknologi,"Jl. Thamrin No. 12, Surabaya, Jawa Timur",0812-102-1002,12.114.106.2-110.122,https://www.bumi-manufaktur-102.co.id
1341.13,117.24,11.44,Indonesia,False,Forestry,False,11,PT,Normal,IDN-PT-FORESTRY-045,PT Forestry Indonesia 045,PT Arunika Kesehatan 103,Kesehatan,"Jl. Gatot Subroto No. 13, Yogyakarta, DI Yogyakarta",0812-103-1003,13.121.109.3-115.133,https://www.arunika-kesehatan-103.co.id
37821.21,1917.15,19.73,Indonesia,False,Forestry,False,13,CV,Normal,IDN-CV-FORESTRY-026,CV Forestry Indonesia 026,PT Mandiri Keuangan 104,Keuangan,"Jl. Diponegoro No. 14, Semarang, Jawa Tengah",0812-104-1004,14.128.112.4-120.144,https://www.mandiri-keuangan-104.co.id
23206.98,2282.99,10.17,Singapore,False,Manufacturing,False,14,PT,Normal,SGP-PT-MANUFACTURING-107,PT Manufacturing Singapore 107,PT Samudra Logistik 105,Transportasi,"Jl. Pahlawan No. 15, Denpasar, Bali",0812-105-1005,15.135.115.5-125.155,https://www.samudra-logistik-105.co.id
25222.39,2323.46,10.86,Singapore,False,Technology,False,17,PT,Normal,SGP-PT-TECHNOLOGY-109,PT Technology Singapore 109,PT Garuda Teknologi 106,Telekomunikasi,"Jl. Asia Afrika No. 16, Makassar, Sulawesi Selatan",0812-106-1006,16.142.118.6-130.166,https://www.garuda-teknologi-106.co.id
76746.77,5174.35,14.83,Indonesia,False,Energy,False,15,Ltd.,Normal,IDN-LTD-ENERGY-038,Ltd. Energy Indonesia 038,PT Sejahtera Agro 107,Agrikultur,"Jl. Kebon Jeruk No. 17, Medan, Sumatera Utara",0812-107-1007,17.149.121.7-135.177,https://www.sejahtera-agro-107.co.id
56729.04,2745.71,20.66,Vietnam,False,Consulting,True,7,Foundation,Suspicious,VIE-FOUNDATION-CONSULTING-169,Foundation Consulting Vietnam 169,PT Cahaya Mineral 108,Pertambangan,"Jl. Cendana No. 18, Balikpapan, Kalimantan Timur",0812-108-1008,18.156.124.8-140.188,https://www.cahaya-mineral-108.co.id
92079.88,7980.46,11.54,Indonesia,True,Agriculture,False,15,PT,Normal,IDN-PT-AGRICULTURE-042,PT Agriculture Indonesia 042,PT Mekar Elektrik 109,Jasa,"Jl. Melati No. 19, Batam, Kepulauan Riau",0812-109-1009,19.163.127.0-145.199,https://www.mekar-elektrik-109.co.id
813514.04,78872.01,10.31,Singapore,False,Real Estate,True,7,Foundation,Suspicious,SGP-FOUNDATION-REAL_ESTATE-093,Foundation Real Estate Singapore 093,PT Nusantara Energi 110,Energi,"Jl. Merdeka No. 20, Jakarta Pusat, DKI Jakarta",0812-110-1010,20.170.130.1-150.210,https://www.nusantara-energi-110.co.id
61849.68,5718.14,10.82,Indonesia,True,Energy,False,9,PT,Normal,IDN-PT-ENERGY-044,PT Energy Indonesia 044,PT Satria Digital 111,Manufaktur,"Jl. Sudirman No. 21, Bandung, Jawa Barat",0812-111-1011,21.177.133.2-155.221,https://www.satria-digital-111.co.id
54184.48,2843.25,19.06,Malaysia,False,Energy,False,14,PT,Normal,MYS-PT-ENERGY-068,PT Energy Malaysia 068,PT Bumi Manufaktur 112,Teknologi,"Jl. Thamrin No. 22, Surabaya, Jawa Timur",0812-112-1012,22.184.136.3-160.232,https://www.bumi-manufaktur-112.co.id
7750662.43,49210476.47,0.16,Switzerland,True,Holding Company,True,0,Foundation,Red-Flag,SWI-FOUNDATION-HOLDING_COMPANY-116,Foundation Holding Company Switzerland 116,PT Arunika Kesehatan 113,Kesehatan,"Jl. Gatot Subroto No. 23, Yogyakarta, DI Yogyakarta",0812-113-1013,23.191.139.4-165.243,https://www.arunika-kesehatan-113.co.id
1557107.36,10092910.84,0.15,Panama,True,Holding Company,True,1,LLC,Red-Flag,PAN-LLC-HOLDING_COMPANY-082,LLC Holding Company Panama 082,PT Mandiri Keuangan 114,Keuangan,"Jl. Diponegoro No. 24, Semarang, Jawa Tengah",0812-114-1014,24.198.142.5-170.254,https://www.mandiri-keuangan-114.co.id
54527.4,4249.78,12.83,China,False,Technology,True,6,PT,Suspicious,CHN-PT-TECHNOLOGY-022,PT Technology China 022,PT Samudra Logistik 115,Transportasi,"Jl. Pahlawan No. 25, Denpasar, Bali",0812-115-1015,25.205.145.6-175.265,https://www.samudra-logistik-115.co.id
23682.2,2217.81,10.68,Singapore,False,Forestry,False,17,CV,Normal,SGP-CV-FORESTRY-088,CV Forestry Singapore 088,PT Garuda Teknologi 116,Telekomunikasi,"Jl. Asia Afrika No. 26, Makassar, Sulawesi Selatan",0812-116-1016,26.212.148.7-180.276,https://www.garuda-teknologi-116.co.id
13193.21,857.48,15.39,China,True,Real Estate,False,18,Individual,Suspicious,CHN-INDIVIDUAL-REAL_ESTATE-017,Individual Real Estate China 017,PT Sejahtera Agro 117,Agrikultur,"Jl. Kebon Jeruk No. 27, Medan, Sumatera Utara",0812-117-1017,27.219.151.8-185.287,https://www.sejahtera-agro-117.co.id
40057.58,2446.76,16.37,UAE,False,Consulting,True,19,Individual,Suspicious,UAE-INDIVIDUAL-CONSULTING-130,Individual Consulting UAE 130,PT Cahaya Mineral 118,Pertambangan,"Jl. Cendana No. 28, Balikpapan, Kalimantan Timur",0812-118-1018,28.226.154.0-190.298,https://www.cahaya-mineral-118.co.id
57621.4,5250.34,10.97,Indonesia,False,Energy,False,17,PT,Normal,IDN-PT-ENERGY-044,PT Energy Indonesia 044,PT Mekar Elektrik 119,Jasa,"Jl. Melati No. 29, Batam, Kepulauan Riau",0812-119-1019,29.233.157.1-195.309,https://www.mekar-elektrik-119.co.id
46137.07,2478.15,18.62,Indonesia,False,Energy,False,17,CV,Normal,IDN-CV-ENERGY-025,CV Energy Indonesia 025,PT Nusantara Energi 120,Energi,"Jl. Merdeka No. 30, Jakarta Pusat, DKI Jakarta",0812-120-1020,30.240.160.2-200.320,https://www.nusantara-energi-120.co.id
74096.67,5279.41,14.04,Indonesia,True,Energy,False,16,PT,Normal,IDN-PT-ENERGY-044,PT Energy Indonesia 044,PT Satria Digital 121,Manufaktur,"Jl. Sudirman No. 31, Bandung, Jawa Barat",0812-121-1021,31.247.163.3-205.331,https://www.satria-digital-121.co.id
13625.67,1210.83,11.25,Indonesia,True,Energy,False,10,PT,Normal,IDN-PT-ENERGY-044,PT Energy Indonesia 044,PT Bumi Manufaktur 122,Teknologi,"Jl. Thamrin No. 32, Surabaya, Jawa Timur",0812-122-1022,32.254.166.4-210.342,https://www.bumi-manufaktur-122.co.id
163788.11,12202.51,13.42,Indonesia,False,Agriculture,False,11,Ltd.,Normal,IDN-LTD-AGRICULTURE-037,Ltd. Agriculture Indonesia 037,PT Arunika Kesehatan 123,Kesehatan,"Jl. Gatot Subroto No. 33, Yogyakarta, DI Yogyakarta",0812-123-1023,33.261.169.5-215.353,https://www.arunika-kesehatan-123.co.id
62462.0,5839.48,10.7,Malaysia,False,Agriculture,False,16,PT,Normal,MYS-PT-AGRICULTURE-067,PT Agriculture Malaysia 067,PT Mandiri Keuangan 124,Keuangan,"Jl. Diponegoro No. 34, Semarang, Jawa Tengah",0812-124-1024,34.268.172.6-220.364,https://www.mandiri-keuangan-124.co.id
37826.33,3004.51,12.59,Indonesia,False,Forestry,False,14,CV,Normal,IDN-CV-FORESTRY-026,CV Forestry Indonesia 026,PT Samudra Logistik 125,Transportasi,"Jl. Pahlawan No. 35, Denpasar, Bali",0812-125-1025,35.275.175.7-225.375,https://www.samudra-logistik-125.co.id
6262.72,,17.33,Indonesia,False,,False,14,,Normal,IDN-UNKNOWN-UNKNOWN-056,Unknown Unknown Indonesia 056,PT Garuda Teknologi 126,Telekomunikasi,"Jl. Asia Afrika No. 36, Makassar, Sulawesi Selatan",0812-126-1026,36.282.178.8-230.386,https://www.garuda-teknologi-126.co.id
